,hit,corr,containment,score,rerank_score
170,APP,0.37314,1.0,62.0,171.0
171,ARAP1,-0.371994,1.0,62.0,172.0
172,ARHGAP30,-0.326357,1.0,62.0,173.0
173,CAPN1,-0.291128,1.0,62.0,174.0
174,CTHRC1,0.214339,1.0,62.0,175.0
175,DLG5,0.305418,1.0,62.0,176.0
176,EFHD2,-0.397334,1.0,62.0,177.0
177,FAM84B,-0.335495,1.0,62.0,178.0
178,FBXO21,0.218791,1.0,62.0,179.0
179,FGFR1OP2,-0.209788,1.0,62.0,180.0
180,FRAS1,0.411062,1.0,62.0,181.0
181,GGH,0.323585,1.0,62.0,182.0
182,GTF2F1,0.326107,1.0,62.0,183.0
183,HBG2,0.148769,1.0,62.0,184.0
184,HEBP1,-0.204676,1.0,62.0,185.0
185,IVNS1ABP,0.281268,1.0,62.0,186.0
186,KCTD12,-0.282483,1.0,62.0,187.0
187,KIAA0513,-0.417297,1.0,62.0,188.0
188,MESD,0.383273,1.0,62.0,189.0
189,MGAT5,0.41953,1.0,62.0,190.0
190,MMP2,0.376418,1.0,62.0,191.0
191,MT3,0.396417,1.0,62.0,192.0
192,MYO1G,-0.319879,1.0,62.0,193.0
193,NME1-NME2,-0.324423,1.0,62.0,194.0
194,NOTUM,0.671136,0.865682,62.0,195.0
195,P4HA2,0.221118,1.0,62.0,196.0
196,PALD1,0.391093,1.0,62.0,197.0
197,PANK2,-0.283029,1.0,62.0,198.0
198,PBXIP1,0.175621,1.0,62.0,199.0
199,PTER,-0.194298,1.0,62.0,200.0
200,RAB27B,0.341491,1.0,62.0,201.0
201,RASAL3,-0.279958,1.0,62.0,202.0
202,RPL5,0.23628,1.0,62.0,203.0
203,S100A13,-0.227467,1.0,62.0,204.0
204,SDC4,-0.288202,1.0,62.0,205.0
205,SLC20A2,0.324334,1.0,62.0,206.0
206,SLC26A6,0.281496,1.0,62.0,207.0
207,SSSCA1,-0.32195,1.0,62.0,208.0
208,STK10,-0.390665,1.0,62.0,209.0
209,STK17B,-0.228329,1.0,62.0,210.0
210,TESC,0.364002,1.0,62.0,211.0
211,THEMIS2,-0.385494,1.0,62.0,212.0
212,TOR2A,0.280001,1.0,62.0,213.0
213,UCK1,-0.256343,1.0,62.0,214.0
214,USP54,0.28404,1.0,62.0,215.0
215,VGLL4,0.251391,1.0,62.0,216.0
216,WIPF1,-0.303912,1.0,62.0,217.0
217,XXYLT1,0.25809,1.0,62.0,218.0
218,ABCC1,0.315573,1.0,61.0,219.0
219,ABHD6,0.315607,1.0,61.0,220.0
220,ACLY,-0.370843,1.0,61.0,221.0
221,ACSS1,-0.31595,1.0,61.0,222.0
222,AKT2,-0.243017,1.0,61.0,223.0
223,ALCAM,0.305489,1.0,61.0,224.0
224,ALDH3B1,-0.357779,1.0,61.0,225.0
225,AP5B1,-0.285513,1.0,61.0,226.0
226,AP5M1,-0.299026,1.0,61.0,227.0
227,APC,0.275447,1.0,61.0,228.0
228,ARHGAP32,0.32083,1.0,61.0,229.0
229,ARHGAP45,-0.324263,1.0,61.0,230.0
230,ATF1,-0.202739,1.0,61.0,231.0
231,C2orf69,0.210014,1.0,61.0,232.0
232,CAPG,-0.389766,1.0,61.0,233.0
233,CCDC88A,-0.310895,1.0,61.0,234.0
234,CD248,0.21704,1.0,61.0,235.0
235,CDH2,0.382903,1.0,61.0,236.0
236,CLGN,0.31863,1.0,61.0,237.0
237,CPNE3,-0.265487,1.0,61.0,238.0
238,CPOX,-0.311684,1.0,61.0,239.0
239,CPTP,-0.335933,1.0,61.0,240.0
240,CTH,0.19856,1.0,61.0,241.0
241,DENND2D,-0.341999,1.0,61.0,242.0
242,FAM213B,-0.208395,1.0,61.0,243.0
243,FBXO4,0.261137,1.0,61.0,244.0
244,FDFT1,0.194063,1.0,61.0,245.0
245,FOCAD,0.327807,1.0,61.0,246.0
246,FYB1,-0.321855,1.0,61.0,247.0
247,GABARAP,-0.222852,1.0,61.0,248.0
248,GALT,-0.333362,1.0,61.0,249.0
249,GCNT1,0.284447,1.0,61.0,250.0
250,GLRX,-0.308025,1.0,61.0,251.0
251,HEXB,0.198185,1.0,61.0,252.0
252,HPS4,0.340511,0.950355,61.0,253.0
253,ITPR2,0.411736,1.0,61.0,254.0
254,KRT23,0.426421,1.0,61.0,255.0
255,KRT6A,0.351535,1.0,61.0,256.0
256,LYSMD2,-0.19917,1.0,61.0,257.0
257,MSH3,0.287294,1.0,61.0,258.0
